crimes,community_area,type
4,Edgewater,OBSCENITY
130,Edgewater,"OFFENSE INVOLVING CHILDREN"
1695,Edgewater,"OTHER OFFENSE"
1,Edgewater,PROSTITUTION
1,Edgewater,"PUBLIC INDECENCY"
172,Edgewater,"PUBLIC PEACE VIOLATION"
885,Edgewater,ROBBERY
136,Edgewater,"SEX OFFENSE"
11,Edgewater,STALKING
7944,Edgewater,THEFT
133,Edgewater,"WEAPONS VIOLATION"
6,"Edison Park",ARSON
154,"Edison Park",ASSAULT
476,"Edison Park",BATTERY
143,"Edison Park",BURGLARY
7,"Edison Park","CRIM SEXUAL ASSAULT"
398,"Edison Park","CRIMINAL DAMAGE"
89,"Edison Park","CRIMINAL TRESPASS"
258,"Edison Park","DECEPTIVE PRACTICE"
1,"Edison Park",GAMBLING
1,"Edison Park",INTIMIDATION
2,"Edison Park",KIDNAPPING
3,"Edison Park","LIQUOR LAW VIOLATION"
70,"Edison Park","MOTOR VEHICLE THEFT"
36,"Edison Park",NARCOTICS
1,"Edison Park",OBSCENITY
16,"Edison Park","OFFENSE INVOLVING CHILDREN"
262,"Edison Park","OTHER OFFENSE"
2,"Edison Park",PROSTITUTION
20,"Edison Park","PUBLIC PEACE VIOLATION"
16,"Edison Park",ROBBERY
11,"Edison Park","SEX OFFENSE"
2,"Edison Park",STALKING
558,"Edison Park",THEFT
2,"Edison Park","WEAPONS VIOLATION"
157,Englewood,ARSON
5678,Englewood,ASSAULT
16979,Englewood,BATTERY
4187,Englewood,BURGLARY
22,Englewood,"CONCEALED CARRY LICENSE VIOLATION"
